Vg_V,P_uC_cm2,E_MV_cm
-0.950000000000003,-0.9778460583112721,0.41498336702282096
-0.975000000000003,-0.96421760322613,0.416886161896549
-1.0,-0.949671592362591,0.41891174587569097
-1.025,-0.934215025858249,0.42105817531872597
-1.05,-0.9178814586368119,0.42331980613662795
-1.075,-0.900724144524614,0.425688298237635
-1.1,-0.8828080403864189,0.42815376424689994
-1.12500000000001,-0.864202779322833,0.43070576729461496
-1.15000000000001,-0.844977513625434,0.43333404519015994
-1.17500000000001,-0.825197654600327,0.436028961338302
-1.20000000000001,-0.804923131403638,0.438781738832713
-1.22500000000001,-0.784207707165168,0.441584544886559
-1.25000000000001,-0.763098956309098,0.44443048262590895
-1.27500000000001,-0.7416386135445769,0.44731353163995696
-1.30000000000001,-0.71986310286906,0.45022846450731296
-1.32500000000001,-0.6978041289875969,0.453170755865816
-1.35000000000001,-0.67548926409789,0.456136493363882
-1.37500000000001,-0.652942495226963,0.459122295247098
-1.40000000000001,-0.630184716774486,0.46212523658365595
-1.42500000000001,-0.607234164054389,0.46514278457317293
-1.45000000000001,-0.5841067895895099,0.46817274256014396
-1.47500000000001,-0.5608165868033259,0.471213201984728
-1.50000000000001,-0.5373758668316619,0.474262501368757
-1.52500000000001,-0.513795494797858,0.47731919136840295
-1.55000000000001,-0.490085090212217,0.480382005161002
-1.57500000000001,-0.466253198102912,0.48344983319833795
-1.60000000000001,-0.442307434197747,0.486521701802798
-1.62500000000001,-0.41825460861177,0.48959675494970994
-1.65000000000001,-0.39410083136806096,0.49267423873892396
-1.67500000000001,-0.369851602462803,0.495753488149161
-1.70000000000001,-0.345511888969276,0.498833915706345
-1.72500000000001,-0.321086191145647,0.5019150017733129
-1.75000000000001,-0.29657859925072,0.504996286208654
-1.77500000000001,-0.271992842485079,0.508077361184854
-1.80000000000001,-0.24733233126021,0.511157864988291
-1.82500000000002,-0.22260019376252502,0.514237476657523
-1.85000000000002,-0.197799307706133,0.5173159113292419
-1.87500000000002,-0.172932327906797,0.5203929161969469
-1.90000000000002,-0.148001710351368,0.523468266984823
-1.92500000000002,-0.12300973321347401,0.526541764869287
-1.95000000000002,-0.0979585152667264,0.529613233782447
-1.97500000000002,-0.0728500320470768,0.532682518045582
-2.00000000000002,-0.047686130095624196,0.5357494802845959
-2.02500000000002,-0.0224685395087908,0.538813999593336
-2.05000000000002,0.00280111496096889,0.541875969909578
-2.07500000000002,0.0281213040569827,0.544935298574981
-2.10000000000002,0.053490585285793,0.547991905058296
-2.12500000000002,0.0789075951286536,0.551045719817484
-2.15000000000002,0.104371042121868,0.5540966832885389
-2.17500000000002,0.129879700640546,0.557144744978424
-2.20000000000002,0.155432405359533,0.560189862656586
-2.22500000000002,0.18102804627041102,0.563232001628474
-2.25000000000002,0.206665564208998,0.5662711340838089
-2.27500000000002,0.23234394682647,0.569307238510032
-2.30000000000002,0.258062224957423,0.572340299163972
-2.32500000000002,0.283819469332965,0.575370305594362
-2.35000000000002,0.30961478760926,0.578397252210585
-2.37500000000002,0.335447321666181,0.581421137891349
-2.40000000000002,0.36131624516210603,0.584441965630788
-2.42500000000002,0.387220761374356,0.587459742224592
-2.45000000000002,0.413160101085524,0.590474477967528
-2.47500000000002,0.43913352079275597,0.593486186394091
-2.50000000000002,0.465140300994992,0.5964948840331409
-2.52500000000003,0.49117974465419506,0.599500590187252
-2.55000000000003,0.517251175783871,0.6025033267308899
-2.57500000000003,0.5433539381452029,0.605503117924761
-2.60000000000003,0.569487394070954,0.6084999902483089
-2.62500000000003,0.595650923358771,0.6114939722432979
-2.65000000000003,0.621843922266613,0.614485094371986
-2.67500000000003,0.648065802590307,0.61747338888732
-2.70000000000003,0.674315990808388,0.620458889713209
-2.72500000000003,0.700593927285509,0.623441632333699
-2.75000000000003,0.726899065548079,0.626421653692391
-2.77500000000003,0.7532308716110709,0.629398992099541
-2.80000000000003,0.779588817433629,0.632373686478917
-2.82500000000003,0.805972170892987,0.6353457527224159
-2.85000000000003,0.832380312157418,0.6383152194379069
-2.87500000000003,0.858812740405473,0.6412821285820209
-2.90000000000003,0.88526896363,0.644246523003245
-2.92500000000003,0.911748498196458,0.647208446384316
-2.95000000000003,0.9382508684212499,0.650167943187887
-2.97500000000003,0.964775606176828,0.6531250586061689
-3.00000000000003,0.9913222505254329,0.656079838514673
-3.02500000000003,1.01789034737524,0.659032329429288
-3.05000000000003,1.0444794491567801,0.661982578466382
-3.07500000000003,1.07108911452235,0.664930633306194
-3.10000000000003,1.09771890805394,0.667876542157833
-3.12500000000003,1.1243684000029899,0.6708203537284361
-3.15000000000003,1.15103716603027,0.673762117192914
