Vg_V,Id_A_um
1.21999999998731,0.00047041624912776895
1.23999999998725,0.00047889027724728887
1.2599999999872,0.0004870193773801256
1.27999999998715,0.0004948184465903634
1.29999999998709,0.0005022631082802855
1.31999999998704,0.0005093862459073433
1.33999999998699,0.0005162300051895211
1.35999999998693,0.0005228317926995812
1.37999999998688,0.0005291909649155134
1.39999999998682,0.0005353135565665489
1.41999999998677,0.0005412428933103845
1.43999999998672,0.0005469752036207344
1.45999999998666,0.0005525215878051044
1.47999999998661,0.0005579008241950401
1.49999999998656,0.00056311712241122
1.5199999999865,0.0005681612599336723
1.53999999998645,0.0005730546798420455
1.55999999998639,0.0005777907011199923
1.57999999998634,0.0005823648257779623
1.59999999998629,0.0005868109845001489
1.61999999998623,0.0005911333394474378
1.63999999998618,0.00059533655689968
1.65999999998613,0.0005994251853738311
1.67999999998607,0.0006034037050628711
1.69999999998602,0.0006072764169003288
1.71999999998596,0.0006110475690727111
1.73999999998591,0.0006147212263047911
1.75999999998586,0.0006183012805832511
1.7799999999858,0.0006217913031344812
1.79999999998575,0.0006251945664646323
1.8199999999857,0.00062851400712096
1.83999999998564,0.0006317523709534279
1.85999999998559,0.00063490688740523
1.87999999998553,0.0006379822934529189
1.89999999998548,0.0006409839986613411
1.91999999998543,0.0006439144504264733
1.93999999998537,0.0006467759959476945
1.95999999998532,0.0006495709880959834
1.97999999998526,0.0006523017074240023
1.99999999998521,0.0006549703680338589
2.01999999998516,0.0006575791346980455
2.0399999999851,0.00066012656693449
2.05999999998505,0.0006626173563735089
2.079999999985,0.0006650528411230467
2.09999999998494,0.0006674343623761745
2.11999999998489,0.0006697632272929044
2.13999999998483,0.0006720407349231056
2.15999999998478,0.0006742681512185767
2.17999999998473,0.0006764468953079644
2.19999999998467,0.0006785784473577266
2.21999999998462,0.0006806579752397255
2.23999999998457,0.00068269265304736
2.25999999998451,0.0006846846963767423
2.27999999998446,0.0006866355054514245
2.2999999999844,0.00068854639370724
2.31999999998435,0.0006904187414706911
2.3399999999843,0.0006922536926610523
2.35999999998424,0.0006940526487813722
2.37999999998419,0.0006958167870197912
2.39999999998414,0.0006975472586215899
2.41999999998408,0.0006992451603134756
2.43999999998403,0.0007009115498452144
2.45999999998397,0.0007025474204586578
2.47999999998392,0.0007041537525079201
2.49999999998387,0.0007057314784730322
2.51999999998381,0.0007072746500836479
2.53999999998376,0.0007087840842611377
2.55999999998371,0.0007102675563841601
2.57999999998365,0.0007117256395053868
2.5999999999836,0.0007131589369238256
2.61999999998354,0.0007145680559723023
2.63999999998349,0.0007159535879247823
2.65999999998344,0.0007173161152716789
2.67999999998338,0.0007186562008489667
2.69999999998333,0.0007199743993469757
2.71999999998328,0.0007212712469275946
2.73999999998322,0.000722547272852889
2.75999999998317,0.0007238029842483688
2.77999999998311,0.0007250388596395223
2.79999999998306,0.0007262553752296323
2.81999999998301,0.0007274530135714744
2.83999999998295,0.0007286322492711079
2.8599999999829,0.0007297935023406623
2.87999999998284,0.0007309372169456155
2.89999999998279,0.0007320637852052422
2.91999999998274,0.0007331736124796411
2.93999999998268,0.0007342670739764012
2.95999999998263,0.0007353445639541401
2.97999999998258,0.0007364064241508489
2.99999999998252,0.0007374530224909078
3.01999999998247,0.0007384846788971211
3.03999999998241,0.00073950173982068
3.05999999998236,0.0007405045059569033
3.07999999998231,0.0007414933061271923
3.09999999998225,0.0007424683893537701
3.1199999999822,0.0007434300813532222
3.13999999998215,0.0007443786586388433
3.15999999998209,0.0007453144101850901
3.17999999998204,0.0007462375854036411
3.19999999998198,0.00074714845898313
3.21999999998193,0.0007480472671109266
3.23999999998188,0.0007489342703074423
3.25999999998182,0.000749809692262089
3.27999999998177,0.0007506737802300367
3.29999999998172,0.0007515267462949455
3.31999999998166,0.0007523688252476112
3.33999999998161,0.0007532002181661645
3.35999999998155,0.0007540211477731444
3.3799999999815,0.0007548318046291401
3.39999999998145,0.0007556324021630722
3.41999999998139,0.0007564231213626855
3.43999999998134,0.0007572041655398134
3.45999999998129,0.0007579757066791767
3.47999999998123,0.000758737938598099
3.5,0.0007594910247026456
