V_G_V,E_MVcm,P_uCcm2
3.699999999999989964e+00,-5.030993640631780117e-01,-2.627226002773400015e+00
3.749999999999989786e+00,-5.101042540688969229e-01,-2.676027705150939795e+00
3.799999999999990052e+00,-5.170802678511999817e-01,-2.724977315116829946e+00
3.849999999999989875e+00,-5.240277750318599326e-01,-2.774072852505359954e+00
3.899999999999990141e+00,-5.309471428777009505e-01,-2.823312358247429987e+00
3.949999999999989964e+00,-5.378387362454509768e-01,-2.872693894094100031e+00
4.000000000000000000e+00,-5.447029175330989625e-01,-2.922215542344869910e+00
4.000000000000000000e+00,-5.447029175330989625e-01,-2.922215542344869910e+00
3.950000000000000178e+00,-5.292263905317809991e-01,-2.911748626475330060e+00
3.899999999999999911e+00,-5.138045219866149704e-01,-2.901043956909029831e+00
3.850000000000000089e+00,-4.984380301494319987e-01,-2.890098481120140228e+00
3.799999999999999822e+00,-4.831276219706059361e-01,-2.878909204830390145e+00
3.750000000000000000e+00,-4.678739923032949610e-01,-2.867473195901879990e+00
3.700000000000000178e+00,-4.526778231133709585e-01,-2.855787588189229620e+00
3.649999999999999911e+00,-4.375397827193909794e-01,-2.843849585358159793e+00
3.600000000000000089e+00,-4.224605250359849684e-01,-2.831656464638810267e+00
3.549999999999999822e+00,-4.074406888412939742e-01,-2.819205580517859744e+00
3.500000000000000000e+00,-3.924808970648479556e-01,-2.806494368355379798e+00
3.450000000000000178e+00,-3.775817560991679422e-01,-2.793520347918020175e+00
3.399999999999999911e+00,-3.627438551374589926e-01,-2.780281126819560189e+00
3.350000000000000089e+00,-3.479677655397669933e-01,-2.766774403860659870e+00
3.299999999999999822e+00,-3.332540402298470039e-01,-2.752997972259569881e+00
3.250000000000000000e+00,-3.186032131249959543e-01,-2.738949722766699679e+00
3.200000000000000178e+00,-3.040157986009939806e-01,-2.724627646655849667e+00
3.149999999999999911e+00,-2.894922909942360123e-01,-2.710029838586289763e+00
3.100000000000000089e+00,-2.750331641443349850e-01,-2.695154499331129827e+00
3.049999999999999822e+00,-2.606388709812429982e-01,-2.679999938369990176e+00
3.000000000000000000e+00,-2.463098431392189980e-01,-2.664564576321250211e+00
2.950000000000000178e+00,-2.320464906313499942e-01,-2.648846947243590044e+00
2.899999999999999911e+00,-2.178492015673390014e-01,-2.632845700785829912e+00
2.850000000000000089e+00,-2.037183419180989830e-01,-2.616559604185380028e+00
2.799999999999999822e+00,-1.896542553298870004e-01,-2.599987544116610039e+00
2.750000000000000000e+00,-1.756572629895090110e-01,-2.583128528389730061e+00
2.700000000000000178e+00,-1.617276635419999942e-01,-2.565981687502259856e+00
2.649999999999999911e+00,-1.478657330627289879e-01,-2.548546276046870229e+00
2.600000000000000089e+00,-1.340717250843609931e-01,-2.530821673978709718e+00
2.549999999999999822e+00,-1.203459087151770024e-01,-2.512807438193719989e+00
2.500000000000000000e+00,-1.066885712464119979e-01,-2.494503312191429956e+00
2.450000000000000178e+00,-9.309989946486679768e-02,-2.475909068438200133e+00
2.399999999999999911e+00,-7.958005604246670694e-02,-2.457024605603829848e+00
2.350000000000000089e+00,-6.612918243085540160e-02,-2.437849952606470083e+00
2.299999999999999822e+00,-5.274739925644089666e-02,-2.418385269244200053e+00
2.250000000000000000e+00,-3.943480678268909689e-02,-2.398630846758849966e+00
2.200000000000000178e+00,-2.619148544217880098e-02,-2.378587108349000001e+00
2.149999999999999911e+00,-1.301749644134969977e-02,-2.358254609651369904e+00
2.100000000000000089e+00,8.711755860570749327e-05,-2.337634039212049597e+00
2.049999999999999822e+00,1.312233168060619910e-02,-2.316726218972419815e+00
2.000000000000000000e+00,2.608813798469329995e-02,-2.295532104798150286e+00
1.949999999999999956e+00,3.898454451802840087e-02,-2.274052787102240014e+00
1.899999999999999911e+00,5.181157430401199526e-02,-2.252289491515889974e+00
1.850000000000000089e+00,6.456926419756459090e-02,-2.230243579752360095e+00
1.800000000000000044e+00,7.725766362534708387e-02,-2.207916550665010025e+00
1.750000000000000000e+00,8.987683320347619742e-02,-2.185310041544000104e+00
1.699999999999999956e+00,1.024268432135790052e-01,-2.162425829720350023e+00
1.649999999999999911e+00,1.149077719224489980e-01,-2.139265834543300215e+00
1.600000000000000089e+00,1.273197037226789785e-01,-2.115832119815869827e+00
1.550000000000000044e+00,1.396627270696889911e-01,-2.092126896784080259e+00
1.500000000000000000e+00,1.519369261014969774e-01,-2.068152539774990029e+00
1.449999999999999956e+00,1.641422326284859845e-01,-2.043911882912619937e+00
1.399999999999999911e+00,1.762786714663339971e-01,-2.019407745311080138e+00
1.350000000000000089e+00,1.883463311036440158e-01,-1.994642975754520098e+00
1.300000000000000044e+00,2.003452874105909887e-01,-1.969620601568330187e+00
1.250000000000000000e+00,2.122755995520080041e-01,-1.944343838284319892e+00
