state,vds_idx,point,Vds_V,Vg_V,Id_uA_um
ers,1,29,5.000000e-01,-5.000000e-02,2.861114e-03
ers,1,30,5.000000e-01,0.000000e+00,6.489228e-03
ers,1,31,5.000000e-01,5.000000e-02,1.405377e-02
ers,1,32,5.000000e-01,1.000000e-01,3.254778e-02
ers,1,33,5.000000e-01,1.500000e-01,8.730906e-02
ers,1,34,5.000000e-01,2.000000e-01,2.934801e-01
ers,1,35,5.000000e-01,2.500000e-01,1.176874e+00
ers,1,36,5.000000e-01,3.000000e-01,4.633587e+00
ers,1,37,5.000000e-01,3.500000e-01,1.465726e+01
ers,1,38,5.000000e-01,4.000000e-01,3.464166e+01
ers,1,39,5.000000e-01,4.500000e-01,6.507666e+01
ers,1,40,5.000000e-01,5.000000e-01,1.049688e+02
ers,1,41,5.000000e-01,5.500000e-01,1.533663e+02
ers,1,42,5.000000e-01,6.000000e-01,2.074466e+02
ers,1,43,5.000000e-01,6.500000e-01,2.646668e+02
ers,1,44,5.000000e-01,7.000000e-01,3.213198e+02
ers,1,45,5.000000e-01,7.500000e-01,3.733287e+02
ers,1,46,5.000000e-01,8.000000e-01,4.179588e+02
ers,1,47,5.000000e-01,8.500000e-01,4.550573e+02
ers,1,48,5.000000e-01,9.000000e-01,4.848827e+02
ers,1,49,5.000000e-01,9.500000e-01,5.087049e+02
ers,1,50,5.000000e-01,1.000000e+00,5.295347e+02
pgm,0,0,5.000000e-02,-1.500000e+00,2.329800e-04
pgm,0,1,5.000000e-02,-1.450000e+00,1.286902e-04
pgm,0,2,5.000000e-02,-1.400000e+00,7.700262e-05
pgm,0,3,5.000000e-02,-1.350000e+00,4.800809e-05
pgm,0,4,5.000000e-02,-1.300000e+00,3.173755e-05
pgm,0,5,5.000000e-02,-1.250000e+00,2.015475e-05
pgm,0,6,5.000000e-02,-1.200000e+00,1.047830e-05
pgm,0,7,5.000000e-02,-1.150000e+00,2.046093e-06
pgm,0,8,5.000000e-02,-1.100000e+00,3.638002e-06
pgm,0,9,5.000000e-02,-1.050000e+00,6.047134e-06
pgm,0,10,5.000000e-02,-1.000000e+00,5.406792e-06
pgm,0,11,5.000000e-02,-9.500000e-01,4.899565e-06
pgm,0,12,5.000000e-02,-9.000000e-01,3.492439e-06
pgm,0,13,5.000000e-02,-8.500000e-01,2.494540e-06
pgm,0,14,5.000000e-02,-8.000000e-01,2.200359e-06
pgm,0,15,5.000000e-02,-7.500000e-01,1.000853e-06
