timestep,ALIF0,ALIF1,ALIF2,ALIF3,ALIF4
607,1.582225,0.45633876,0.99544126,0.54452497,1.1752269
608,1.5806435,0.45588264,0.9944463,0.5439807,1.1740522
609,1.5790637,0.455427,0.9934523,0.543437,1.1728787
610,1.5774853,0.4549718,0.99245936,0.5428938,1.1717064
611,1.5759087,0.45451704,0.99146736,0.5423512,1.1705353
612,1.5743335,0.570766,0.99047637,0.5418091,1.1693654
613,1.57276,0.5701955,0.9894864,0.5412675,1.1681966
614,1.571188,0.56962556,0.9884974,0.5407265,1.1670289
615,1.5696175,0.5690562,0.98750937,0.54018605,1.1658624
616,1.5680487,0.5684874,0.9865223,0.6563494,1.1646972
617,1.5664815,0.5679192,0.9855363,0.6556934,1.1635331
618,1.5649158,0.5673516,0.98455125,0.65503806,1.1623701
619,1.5633516,0.5667845,0.9835672,0.65438336,1.1612083
620,1.6759843,0.566218,0.9825841,0.6537293,1.1600477
621,1.6743091,0.5656521,0.981602,0.65307593,1.1588882
622,1.6726357,0.5650867,0.9806209,0.6524232,1.1577299
623,1.6709639,0.6812252,0.9796408,0.6517711,1.1565727
624,1.6692938,0.6805443,0.9786616,0.65111965,1.1554167
625,1.6676253,0.6798641,0.9776834,0.7671721,1.1542618
626,1.6659585,0.67918456,0.9767062,0.7664053,1.1531081
627,1.6642934,0.6785057,0.97573,0.76563925,1.1519556
628,1.7758942,0.67782754,0.97475475,0.764874,1.1508042
629,1.7741191,0.79385334,0.97378045,0.7641095,1.1496539
630,1.7723459,0.7930599,0.97280717,0.7633458,1.1485049
631,1.7705745,0.7922672,0.97183484,0.7625828,1.2638385
632,1.7688048,0.7914753,0.97086346,0.76182055,1.2625753
633,1.7670368,0.7906842,0.9698931,0.7610591,1.2613133
634,1.7652706,0.7898939,0.9689237,0.76029843,1.2600527
635,1.7635062,0.7891044,0.96795523,0.75953853,1.2587932
636,1.7617435,0.7883157,0.9669877,0.75877935,1.2575351
637,1.7599827,0.7875278,0.96602124,0.8747242,1.2562782
638,1.7582235,0.78674066,0.9650557,0.8738499,1.2550225
639,1.7564662,0.7859543,0.9640911,0.8729765,1.2537681
640,1.7547106,0.7851687,0.9631275,0.8721039,1.252515
641,1.7529567,0.78438395,0.9621648,0.8712323,1.251263
642,1.7512046,0.7836,0.9612031,0.87036145,1.3661585
643,1.7494543,0.89952004,0.9602424,0.8694915,1.364793
644,1.7477057,0.89862096,0.95928264,0.8686224,1.3634288
645,1.858343,0.8977228,0.95832384,0.8677542,1.362066
646,1.8564856,0.8968255,0.957366,0.8668869,1.3607047
647,1.85463,0.8959291,0.9564091,0.9827237,1.3593446
648,1.8527763,0.8950336,0.95545316,0.9817415,1.473615
649,1.8509244,0.894139,0.9544982,0.9807602,1.4721421
650,1.8490744,1.0099485,0.95354414,0.97977996,1.4706707
651,1.8472261,1.008939,0.95259106,0.97880065,1.4692007
652,1.8453798,1.0079306,0.95163894,0.9778223,1.4677322
653,1.8435353,1.0069232,0.95068777,0.97684497,1.4662652
654,1.8416927,1.0059167,0.94973755,0.9758686,1.4647996
655,1.8398519,1.0049113,0.9487883,1.0915964,1.4633355
656,1.8380129,1.0039068,0.94784,1.0905054,1.4618729
657,1.8361758,1.0029035,0.9468926,1.0894154,1.4604118
658,1.8343406,1.001901,0.9459462,1.0883266,1.4589521
659,1.8325071,1.117597,0.9450007,1.0872388,1.4574938
660,1.8306755,1.11648,0.94405615,1.0861521,1.456037
661,1.8288457,1.1153641,0.94311255,1.2016776,1.4545817
662,1.8270178,1.1142492,0.9421699,1.2004765,1.4531279
663,1.8251916,1.1131356,0.9412282,1.1992767,1.4516754
664,1.8233674,1.112023,0.9402875,1.198078,1.4502244
665,1.8215449,1.1109115,0.9393476,1.1968806,1.4487749
666,1.8197242,1.1098012,0.93840873,1.1956843,1.4473269
667,1.8179054,1.1086919,0.9374708,1.1944892,1.4458803
668,1.8160884,1.1075838,0.9365338,1.1932954,1.4444351
669,1.8142732,1.1064767,0.9355977,1.1921027,1.4429914
670,1.9240699,1.2219458,0.9346626,1.307269,1.4415491
671,1.9221468,1.2207245,0.9337284,1.3059623,1.4401082
672,1.9202256,1.2195044,0.9327951,1.304657,1.4386687
673,1.9183064,1.2182854,0.9318628,1.303353,1.4372307
674,1.916389,1.2170677,0.9309314,1.3020502,1.4357942
675,1.9144735,1.2158512,0.9300009,1.3007488,1.4343592
