node,T_K,state,t_rel_s,G_uA_um,G_over_plateau,phase,plateau_uA_um,plateau_spread_pct
t12_ret,300,programmed,0.0001,2.483331,1.0000092618394496,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.0001,2.483331,1.0000092618394496,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000145,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000145,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00019,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00019,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000235,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000235,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00028,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00028,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000325,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000325,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00037,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00037,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000415,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000415,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00046,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00046,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000505,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000505,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00055,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00055,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000595,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.000595,2.483308,1.0,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.00064,2.483308,1.0,plateau,2.483308,0.6215499648050137
