t_us,phase,pulse,Vg_V,Py_uC_cm2,Qg_fC,abs_Ig_A
1.6565,read,5,0.0,-0.0448872257884559,-0.11492639650603013,3.150843290202854e-11
1.6589999999999998,read,5,0.0,-0.046024753256007196,-0.11500033456365782,2.957522305114439e-11
1.6600000000000001,write,6,2.0,-0.0464796561552644,0.24013794005322975,4.072864041911479e-07
1.7099999999999997,write,6,2.0,-0.06921254841241929,0.2410567951523812,1.5780593058897676e-11
1.76,write,6,2.0,-0.0920058358871054,0.24185259597997144,1.5997166295228824e-11
1.8100000000000005,write,6,2.0,-0.115281147128492,0.24266862546141485,1.6415558474282048e-11
1.8599999999999999,write,6,2.0,-0.13907363954763702,0.24350475254633305,1.6810452321423342e-11
1.9100000000000004,write,6,2.0,-0.163342163096036,0.24435954315401962,1.717680389640864e-11
1.96,write,6,2.0,-0.188046476856384,0.2452315920381222,1.7515205176889474e-11
1.9610000000000003,read,6,0.0,-0.18854188540267403,-0.10877259441421648,1.1617997393513538e-07
1.9635,read,6,0.0,-0.189779758083641,-0.11204486578743465,2.0784364565636601e-10
1.9660000000000004,read,6,0.0,-0.19101660276367802,-0.11224319114147639,6.232762904525494e-11
1.9685,read,6,0.0,-0.192252443840847,-0.11236253533495734,4.6411559540362204e-11
1.9710000000000003,read,6,0.0,-0.19348729405816598,-0.11246597389180647,4.1375422739554867e-11
1.9734999999999998,read,6,0.0,-0.19472122149778698,-0.112560327079245,3.774127497535414e-11
1.9760000000000002,read,6,0.0,-0.19595422552820901,-0.11264678243630812,3.458214282530339e-11
1.9784999999999997,read,6,0.0,-0.197186305545991,-0.11272607854386275,3.1718443021868537e-11
1.981,read,6,0.0,-0.19841746097362598,-0.11279883124077147,2.910107876345474e-11
1.9834999999999998,read,6,0.0,-0.199647691257549,-0.1128655931610226,2.6704768100457613e-11
1.9860000000000002,read,6,0.0,-0.200876995866268,-0.11292686688332915,2.4509488922545567e-11
1.9884999999999997,read,6,0.0,-0.202105374288606,-0.11298310990648226,2.2497209261263395e-11
1.991,read,6,0.0,-0.20333282603208902,-0.11303473814685888,2.065129615080919e-11
1.9919999999999998,write,7,2.0,-0.203823687688034,0.24565830047865697,4.0743000055259433e-07
2.0420000000000003,write,7,2.0,-0.228337059480351,0.24665313507875875,1.728931744984633e-11
2.0920000000000005,write,7,2.0,-0.252792887549913,0.24751758285070988,1.728805240992993e-11
2.142,write,7,2.0,-0.277209850235684,0.24838665950967018,1.7426542151888874e-11
2.192,write,7,2.0,-0.30191341806300803,0.24926866605453615,1.7698510949010022e-11
2.242,write,7,2.0,-0.326923970153993,0.25016332137178504,1.7945461295537768e-11
2.2920000000000003,write,7,2.0,-0.352206879992212,0.2510694031228384,1.8168157174065845e-11
2.2929999999999997,read,7,0.0,-0.352713066659968,-0.10683938015923818,1.1741770744493135e-07
2.2955,read,7,0.0,-0.35397784307828,-0.11008292647478135,1.91408114695905e-10
2.298,read,7,0.0,-0.355241527130835,-0.11025360816849825,5.197142759172388e-11
2.3005000000000004,read,7,0.0,-0.356504145217585,-0.1103470527333524,3.601788801943151e-11
2.303,read,7,0.0,-0.357765711084985,-0.11042369030657093,3.065502928761793e-11
2.3055000000000003,read,7,0.0,-0.359026298255617,-0.1104911145242436,2.6969687068968063e-11
2.308,read,7,0.0,-0.36028590602018395,-0.11055114694116065,2.4012966766929338e-11
2.3105,read,7,0.0,-0.361544533693258,-0.11060497166322106,2.1529888823947505e-11
2.3129999999999997,read,7,0.0,-0.362802180609413,-0.11065348294097578,1.9404511101974663e-11
2.3155,read,7,0.0,-0.36405884612024003,-0.11069738573768495,1.7561118683685425e-11
2.3179999999999996,read,7,0.0,-0.365314529592024,-0.11073724466280971,1.5943570049978493e-11
2.3205,read,7,0.0,-0.366569230403952,-0.1107735166113338,1.450877940952485e-11
2.3230000000000004,read,7,0.0,-0.367822947946721,-0.11080657489843712,1.3223314841279325e-11
2.3240000000000003,write,8,2.0,-0.368324310604297,0.2515168576772658,4.0757733601843056e-07
2.3740000000000006,write,8,2.0,-0.393352287117475,0.2525430566101614,1.791048043100827e-11
2.424,write,8,2.0,-0.41830218571789896,0.2534376687992227,1.7882938109295953e-11
2.474,write,8,2.0,-0.443164047572204,0.25433047104938555,1.7849355519250588e-11
2.524,write,8,2.0,-0.467934963888061,0.2552245355050929,1.788887530076077e-11
2.5740000000000003,write,8,2.0,-0.492670172154438,0.25612264030365,1.799305960149298e-11
2.6239999999999997,write,8,2.0,-0.517557947810049,0.257027806925505,1.8129391161074496e-11
2.6250000000000004,read,8,0.0,-0.5180556768102721,-0.10482706633475915,1.191505517585702e-07
2.627500000000001,read,8,0.0,-0.519299283562872,-0.1079269382357214,1.575790516219481e-10
2.6299999999999994,read,8,0.0,-0.52054175664473,-0.10805557589705155,3.77472908647151e-11
2.6325,read,8,0.0,-0.521783124186089,-0.10812032611769537,2.481181712603347e-11
2.6350000000000002,read,8,0.0,-0.523023400757825,-0.10817249584335971,2.086789026583667e-11
2.6375000000000006,read,8,0.0,-0.5242626642538359,-0.10821841157417451,1.8366292325721106e-11
2.6399999999999992,read,8,0.0,-0.5255009138746031,-0.1082595016058647,1.643601267621095e-11
2.6424999999999996,read,8,0.0,-0.5267381488330439,-0.1082965531109793,1.4820602045949064e-11
2.645,read,8,0.0,-0.527974368353094,-0.1083300773257914,1.3409685924628944e-11
2.6475000000000004,read,8,0.0,-0.529209571668854,-0.10836043526537556,1.2143175833631614e-11
2.650000000000001,read,8,0.0,-0.5304437580240641,-0.10838789733312951,1.0984827101614859e-11
2.6524999999999994,read,8,0.0,-0.531676926671748,-0.10841267663763718,9.911721803184571e-12
2.655,read,8,0.0,-0.5329090768739491,-0.10843494891641746,8.908911512084281e-12
2.6560000000000006,write,9,2.0,-0.533401811496225,0.25747396926946103,4.077224997474315e-07
2.706,write,9,2.0,-0.55799314616222,0.25849742569874806,1.7852872323888064e-11
2.7559999999999993,write,9,2.0,-0.5824961714752981,0.25938877147257233,1.781510305337049e-11
2.806000000000001,write,9,2.0,-0.606903270396693,0.2602773624922789,1.77529844021689e-11
2.8560000000000003,write,9,2.0,-0.6312121045400301,0.26116348796853717,1.7712537229901662e-11
2.9059999999999997,write,9,2.0,-0.655420702695708,0.26204902191923585,1.7702712439910495e-11
2.9559999999999995,write,9,2.0,-0.679527209970761,0.26293403146807776,1.7693474551831333e-11
2.957,read,9,0.0,-0.680008173540221,-0.10279531251676267,1.2203428188248306e-07
2.9595000000000002,read,9,0.0,-0.681209850598522,-0.10558538384146925,1.1694955067407393e-10
2.9620000000000006,read,9,0.0,-0.682410366692295,-0.10567803462294614,2.7085902315869602e-11
2.9644999999999992,read,9,0.0,-0.68360975135774,-0.10572530759035921,1.8173527141265557e-11
2.9669999999999996,read,9,0.0,-0.6848080197822559,-0.10576402502318431,1.5486973129952052e-11
2.9695,read,9,0.0,-0.686005253371348,-0.10579805343041133,1.3611362890970789e-11
2.9720000000000004,read,9,0.0,-0.6872014512274891,-0.10582805334466205,1.1999965700208487e-11
2.974500000000001,read,9,0.0,-0.688396612464484,-0.10585438373020435,1.0532154216990042e-11
2.9769999999999994,read,9,0.0,-0.689590736207133,-0.10587731578916008,9.172823582133508e-12
2.9795,read,9,0.0,-0.690783821590924,-0.10589708457738635,7.907515290498233e-12
2.982,read,9,0.0,-0.691975866677292,-0.10591390467773176,6.728040138239303e-12
2.9845000000000006,read,9,0.0,-0.693166867613173,-0.10592797600529366,5.628531024830225e-12
2.9869999999999997,read,9,0.0,-0.694356823559414,-0.10593948626470523,4.604103764572254e-12
2.988,write,10,2.0,-0.694832681253059,0.26336624846684514,4.078621210356013e-07
3.0379999999999994,write,10,2.0,-0.718578001592793,0.2643674159625649,1.7406465072305388e-11
3.088000000000001,write,10,2.0,-0.742230845639297,0.26523623563099413,1.7363322598955262e-11
3.1380000000000003,write,10,2.0,-0.765785217658183,0.26610206132795833,1.7296719855416872e-11
3.1879999999999997,write,10,2.0,-0.7892391918610759,0.26696478942547414,1.7234359673911985e-11
3.237999999999999,write,10,2.0,-0.812591137316552,0.2678245477946652,1.718041948831122e-11
3.2880000000000007,write,10,2.0,-0.8358395288181201,0.26868282159499796,1.7153682324480888e-11
3.2889999999999993,read,10,0.0,-0.836303345784602,-0.10077656781542388,1.2735983515642227e-07
3.2914999999999996,read,10,0.0,-0.8374621449107119,-0.10314043056231086,9.144576209446416e-11
3.294,read,10,0.0,-0.838619762826295,-0.10321500961555607,2.1943966515068535e-11
3.2965000000000004,read,10,0.0,-0.839776230163149,-0.10325241178127811,1.4309391105059579e-11
3.298999999999999,read,10,0.0,-0.84093156260072,-0.10328123724492169,1.1530185457428001e-11
