series,overdrive_V,I_over_Ion,Vt_V,Ion_A
"TCAD, erased",1.1028264001786228,3.3556010572092285,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.1228264001785728,3.3882704980334917,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.1428264001785229,3.419950374793663,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.1628264001784627,3.4505846768308257,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.1828264001784128,3.480303633303143,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.2028264001783529,3.509066668735331,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.222826400178303,3.5368464657187673,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.2428264001782527,3.5638490937391536,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.2628264001781928,3.5900998306350838,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.2828264001781429,3.6156270158846455,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.3028264001780927,3.6404582737637505,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.3228264001780328,3.664620813597842,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.3428264001779828,3.6881407560272517,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.362826400177923,3.7110439013448353,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.3828264001778727,3.7333549356349054,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.4028264001778228,3.755097495902141,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.4228264001777629,3.776293271091692,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.442826400177713,3.7969621359484416,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.4628264001776627,3.8171219248534727,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.4828264001776028,3.836789314037547,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.5028264001775529,3.8559474772193583,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.5228264001774927,3.8746251832362506,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.5428264001774428,3.892855285721025,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.5628264001773928,3.9106526483184463,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.582826400177333,3.928031526154399,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.6028264001772827,3.945006208799804,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.6228264001772228,3.9615905466185577,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.6428264001771729,3.977797986402315,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.6628264001771227,3.993641675354229,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.6828264001770628,4.00911286506754,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.7028264001770126,4.0242400489814445,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.7228264001769629,4.039031353756891,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.742826400176903,4.053494924793843,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.7628264001768528,4.067638700800778,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.7828264001767928,4.081470571229698,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.8028264001767427,4.094998224520823,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.822826400176693,4.108230279396403,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.842826400176633,4.121175725275212,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.8628264001765829,4.133805215440575,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.8828264001765327,4.146162319946456,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.9028264001764728,4.158260494659765,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.9228264001764226,4.170108243486163,0.35717359980803715,1.0709819098929524e-06
