Vg_V,I_A,state,series
-3.14000000003254,1.4139630446619896e-09,programmed,TCAD
-3.12000000003244,1.4123937965103021e-09,programmed,TCAD
-3.10000000003234,1.4107971545850121e-09,programmed,TCAD
-3.08000000003225,1.409171891684469e-09,programmed,TCAD
-3.06000000003215,1.4075187398084577e-09,programmed,TCAD
-3.04000000003205,1.405836699039775e-09,programmed,TCAD
-3.02000000003195,1.4041245817897585e-09,programmed,TCAD
-3.00000000003185,1.4023812938448745e-09,programmed,TCAD
-2.98000000003176,1.4006052744735501e-09,programmed,TCAD
-2.96000000003166,1.398795204234042e-09,programmed,TCAD
-2.94000000003156,1.3969493676171436e-09,programmed,TCAD
-2.92000000003146,1.3950668792007537e-09,programmed,TCAD
-2.90000000003136,1.3931464543783915e-09,programmed,TCAD
-2.88000000003127,1.3911878239977397e-09,programmed,TCAD
-2.86000000003117,1.3891895969835708e-09,programmed,TCAD
-2.84000000003107,1.3871515002865496e-09,programmed,TCAD
-2.82000000003097,1.3850714060902102e-09,programmed,TCAD
-2.80000000003087,1.3829489473312254e-09,programmed,TCAD
-2.78000000003078,1.3807810870246669e-09,programmed,TCAD
-2.76000000003068,1.3785676567472527e-09,programmed,TCAD
-2.74000000003058,1.3763045312124952e-09,programmed,TCAD
-2.72000000003048,1.3739920880464287e-09,programmed,TCAD
-2.70000000003038,1.3716244852324223e-09,programmed,TCAD
-2.68000000003029,1.3692013713571475e-09,programmed,TCAD
-2.66000000003019,1.3667201193436793e-09,programmed,TCAD
