Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc,branch
1.575,2.36716,-0.184577,-0.131841,reverse
1.55,2.34649,-0.188765,-0.134832,reverse
1.525,2.32576,-0.192933,-0.13781,reverse
1.5,2.30495,-0.197083,-0.140774,reverse
1.475,2.28408,-0.201214,-0.143725,reverse
1.45,2.26314,-0.205327,-0.146662,reverse
1.425,2.24214,-0.209421,-0.149586,reverse
1.4,2.22107,-0.213497,-0.152498,reverse
1.375,2.19994,-0.217554,-0.155396,reverse
1.35,2.17875,-0.221594,-0.158281,reverse
1.325,2.1575,-0.225615,-0.161154,reverse
1.3,2.13619,-0.229618,-0.164013,reverse
1.275,2.11483,-0.233604,-0.16686,reverse
1.25,2.0934,-0.237571,-0.169694,reverse
1.225,2.07192,-0.241521,-0.172515,reverse
1.2,2.05039,-0.245453,-0.175324,reverse
1.175,2.02881,-0.249368,-0.17812,reverse
1.15,2.00717,-0.253265,-0.180904,reverse
1.125,1.98549,-0.257145,-0.183675,reverse
1.1,1.96375,-0.261007,-0.186434,reverse
1.075,1.94197,-0.264852,-0.18918,reverse
1.05,1.92015,-0.268679,-0.191914,reverse
1.025,1.89828,-0.272489,-0.194635,reverse
1.0,1.87637,-0.276282,-0.197344,reverse
0.975,1.85442,-0.280057,-0.200041,reverse
0.95,1.83243,-0.283815,-0.202725,reverse
0.925,1.81041,-0.287555,-0.205397,reverse
0.9,1.78835,-0.291278,-0.208056,reverse
0.875,1.76626,-0.294983,-0.210702,reverse
0.85,1.74414,-0.298671,-0.213336,reverse
0.825,1.722,-0.302341,-0.215958,reverse
0.8,1.69983,-0.305993,-0.218566,reverse
0.775,1.67764,-0.309626,-0.221162,reverse
0.75,1.65544,-0.313242,-0.223744,reverse
0.725,1.63322,-0.316839,-0.226313,reverse
0.7,1.61099,-0.320417,-0.228869,reverse
0.675,1.58875,-0.323975,-0.231411,reverse
0.65,1.56652,-0.327515,-0.233939,reverse
0.625,1.54428,-0.331034,-0.236453,reverse
0.6,1.52206,-0.334532,-0.238951,reverse
0.575,1.49985,-0.338009,-0.241435,reverse
0.55,1.47766,-0.341464,-0.243903,reverse
0.525,1.45551,-0.344896,-0.246354,reverse
0.5,1.43339,-0.348304,-0.248788,reverse
0.475,1.41133,-0.351686,-0.251204,reverse
0.45,1.38934,-0.355041,-0.253601,reverse
0.425,1.36743,-0.358367,-0.255976,reverse
0.4,1.34562,-0.36166,-0.258329,reverse
0.375,1.32393,-0.364919,-0.260657,reverse
0.35,1.30241,-0.368139,-0.262957,reverse
0.325,1.28108,-0.371315,-0.265225,reverse
0.3,1.25999,-0.374441,-0.267458,reverse
0.275,1.2392,-0.377508,-0.269648,reverse
0.25,1.21879,-0.380506,-0.27179,reverse
0.225,1.19886,-0.383421,-0.273872,reverse
0.2,1.17956,-0.386234,-0.275881,reverse
0.175,1.16107,-0.388917,-0.277798,reverse
0.15,1.14369,-0.391431,-0.279593,reverse
0.125,1.1278,-0.39372,-0.281229,reverse
0.1,1.11396,-0.395709,-0.282649,reverse
0.075,1.10283,-0.397303,-0.283788,reverse
0.05,1.09493,-0.398435,-0.284596,reverse
0.025,1.09013,-0.399119,-0.285085,reverse
1.02141e-14,1.08764,-0.399475,-0.28534,reverse
-0.025,1.08644,-0.399646,-0.285462,reverse
-0.05,1.08585,-0.39973,-0.285521,reverse
-0.075,1.08552,-0.399776,-0.285555,reverse
-0.1,1.0853,-0.399808,-0.285577,reverse
-0.125,1.08513,-0.399833,-0.285595,reverse
-0.15,1.08497,-0.399855,-0.285611,reverse
-0.175,1.08482,-0.399876,-0.285626,reverse
-0.2,1.08468,-0.399896,-0.28564,reverse
-0.225,1.08454,-0.399917,-0.285655,reverse
-0.25,1.08439,-0.399937,-0.285669,reverse
-0.275,1.08425,-0.399957,-0.285683,reverse
-0.3,1.08411,-0.399976,-0.285697,reverse
-0.325,1.08398,-0.399996,-0.285711,reverse
-0.35,1.08384,-0.400016,-0.285725,reverse
-0.375,1.0837,-0.400035,-0.285739,reverse
-0.4,1.08356,-0.400055,-0.285753,reverse
-0.425,1.08342,-0.400074,-0.285767,reverse
-0.45,1.08328,-0.400094,-0.285781,reverse
-0.475,1.08315,-0.400114,-0.285795,reverse
-0.5,1.083,-0.400134,-0.28581,reverse
-0.525,1.08284,-0.400156,-0.285826,reverse
-0.55,1.08265,-0.400183,-0.285845,reverse
-0.575,1.08238,-0.400222,-0.285873,reverse
-0.6,1.0819,-0.40029,-0.285922,reverse
-0.625,1.08097,-0.400424,-0.286017,reverse
-0.65,1.07916,-0.400682,-0.286201,reverse
-0.675,1.07606,-0.401123,-0.286516,reverse
-0.7,1.07154,-0.401767,-0.286976,reverse
-0.725,1.06573,-0.402594,-0.287567,reverse
-0.75,1.05887,-0.403568,-0.288263,reverse
-0.775,1.05117,-0.404661,-0.289044,reverse
-0.8,1.04274,-0.405855,-0.289896,reverse
-0.825,1.03367,-0.407138,-0.290813,reverse
-0.85,1.02395,-0.40851,-0.291793,reverse
-0.875,1.01357,-0.409973,-0.292838,reverse
-0.9,1.00247,-0.411534,-0.293953,reverse
-0.925,0.990579,-0.413201,-0.295144,reverse
-0.95,0.977846,-0.414983,-0.296417,reverse
-0.975,0.964218,-0.416886,-0.297776,reverse
-1.0,0.949672,-0.418912,-0.299223,reverse
-1.025,0.934215,-0.421058,-0.300756,reverse
-1.05,0.917881,-0.42332,-0.302371,reverse
-1.075,0.900724,-0.425688,-0.304063,reverse
-1.1,0.882808,-0.428154,-0.305824,reverse
-1.125,0.864203,-0.430706,-0.307647,reverse
-1.15,0.844978,-0.433334,-0.309524,reverse
-1.175,0.825198,-0.436029,-0.311449,reverse
-1.2,0.804923,-0.438782,-0.313416,reverse
-1.225,0.784208,-0.441585,-0.315418,reverse
-1.25,0.763099,-0.44443,-0.31745,reverse
-1.275,0.741639,-0.447314,-0.31951,reverse
-1.3,0.719863,-0.450228,-0.321592,reverse
-1.325,0.697804,-0.453171,-0.323693,reverse
-1.35,0.675489,-0.456136,-0.325812,reverse
-1.375,0.652942,-0.459122,-0.327944,reverse
-1.4,0.630185,-0.462125,-0.330089,reverse
-1.425,0.607234,-0.465143,-0.332245,reverse
-1.45,0.584107,-0.468173,-0.334409,reverse
-1.475,0.560817,-0.471213,-0.336581,reverse
-1.5,0.537376,-0.474263,-0.338759,reverse
-1.525,0.513795,-0.477319,-0.340942,reverse
-1.55,0.490085,-0.480382,-0.34313,reverse
-1.575,0.466253,-0.48345,-0.345321,reverse
-1.6,0.442307,-0.486522,-0.347516,reverse
-1.625,0.418255,-0.489597,-0.349712,reverse
-1.65,0.394101,-0.492674,-0.35191,reverse
-1.675,0.369852,-0.495753,-0.35411,reverse
-1.7,0.345512,-0.498834,-0.35631,reverse
-1.725,0.321086,-0.501915,-0.358511,reverse
-1.75,0.296579,-0.504996,-0.360712,reverse
-1.775,0.271993,-0.508077,-0.362912,reverse
