t_us,phase,pulse,Vg_V,Py_uC_cm2,Id_uA_um,V_pgm_V,threshold_uA_um
0.29100000000000026,read,6,0.0,0.31956591489534397,0.000623130645052417,0.2,0.08209538082760466
0.2934999999999998,read,6,0.0,0.319580508231812,0.0006213134624727808,0.2,0.08209538082760466
0.2960000000000002,read,6,0.0,0.319594998793289,0.0006209149338082723,0.2,0.08209538082760466
0.29849999999999977,read,6,0.0,0.319609387340395,0.0006210237956053256,0.2,0.08209538082760466
0.30100000000000016,read,6,0.0,0.319623674615136,0.0006214629782550502,0.2,0.08209538082760466
0.3034999999999997,read,6,0.0,0.31963786134146505,0.0006221840584861064,0.2,0.08209538082760466
0.3060000000000001,read,6,0.0,0.31965194822581,0.0006231616264846324,0.2,0.08209538082760466
0.30849999999999966,read,6,0.0,0.31966593595758996,0.0006243748795857584,0.2,0.08209538082760466
0.31100000000000005,read,6,0.0,0.319679825209719,0.0006258044279021898,0.2,0.08209538082760466
0.3119999999999997,write,7,2.0,0.319685351030731,71.49804346079014,0.2,0.08209538082760466
0.3153333333333302,write,7,2.0,0.319702528509266,73.76223820266762,0.2,0.08209538082760466
0.31866666666667,write,7,2.0,0.319717516715932,73.76201793452887,0.2,0.08209538082760466
0.32200000000000045,write,7,2.0,0.319730627112234,73.76180118384367,0.2,0.08209538082760466
0.3253333333333301,write,7,2.0,0.319741874208861,73.76158792893804,0.2,0.08209538082760466
0.3286666666666699,write,7,2.0,0.319751256104914,73.76137817749367,0.2,0.08209538082760466
0.3320000000000004,write,7,2.0,0.319758770934332,73.76117193727114,0.2,0.08209538082760466
0.333,read,7,0.0,0.31976083812664197,0.623934499539717,0.2,0.08209538082760466
0.3355000000000004,read,7,0.0,0.31976590152983897,0.0014632220406584767,0.2,0.08209538082760466
0.33799999999999997,read,7,0.0,0.31977086754388595,0.0006959470391278006,0.2,0.08209538082760466
0.34050000000000036,read,7,0.0,0.31977574137610004,0.0006290632286981933,0.2,0.08209538082760466
0.3429999999999999,read,7,0.0,0.319780525907572,0.0006206741487973629,0.2,0.08209538082760466
0.3455000000000003,read,7,0.0,0.31978523087555,0.0006188193915345707,0.2,0.08209538082760466
0.34799999999999986,read,7,0.0,0.319789857035757,0.0006183849247058578,0.2,0.08209538082760466
0.3505000000000003,read,7,0.0,0.31979440512394597,0.0006184596344725795,0.2,0.08209538082760466
0.3529999999999998,read,7,0.0,0.31979887585654604,0.0006188665393025998,0.2,0.08209538082760466
0.35550000000000026,read,7,0.0,0.31980326993124997,0.0006195572957467194,0.2,0.08209538082760466
0.3579999999999998,read,7,0.0,0.31980758802757003,0.0006205065509479298,0.2,0.08209538082760466
0.3605000000000002,read,7,0.0,0.31981183080737396,0.0006216935615507775,0.2,0.08209538082760466
0.36299999999999977,read,7,0.0,0.319815998915414,0.000623098986452752,0.2,0.08209538082760466
0.36400000000000027,write,8,2.0,0.319817638056196,71.49482192167254,0.2,0.08209538082760466
0.36733333333332985,write,8,2.0,0.319821853097423,73.75903625570211,0.2,0.08209538082760466
0.37066666666666964,write,8,2.0,0.319823862779662,73.75884334370987,0.2,0.08209538082760466
0.37400000000000017,write,8,2.0,0.31982398176191495,73.7586540127479,0.2,0.08209538082760466
0.3773333333333298,write,8,2.0,0.319822224953079,73.75846823982253,0.2,0.08209538082760466
