cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,n_samples
6,relax,0,hold,-1.991492e-14,2.479207e-16,-1.966700e-14,71
7,fire,1,rise,2.653814e-16,5.440238e-16,8.094052e-16,30
7,fire,1,write,3.610964e-15,1.230444e-13,1.266553e-13,11
7,fire,1,fall,-2.647061e-16,5.474224e-16,2.827163e-16,30
7,fire,1,read,7.402511e-17,3.696361e-18,7.772147e-17,21
7,fire,2,rise,2.572889e-16,5.368229e-16,7.941118e-16,30
7,fire,2,write,3.611024e-15,1.230508e-13,1.266618e-13,11
7,fire,2,fall,-2.647286e-16,5.476118e-16,2.828832e-16,30
7,fire,2,read,7.402484e-17,3.696347e-18,7.772118e-17,21
7,fire,3,rise,2.573269e-16,5.370783e-16,7.944052e-16,30
7,fire,3,write,3.611098e-15,1.230627e-13,1.266738e-13,11
7,fire,3,fall,-2.647662e-16,5.479273e-16,2.831611e-16,30
7,fire,3,read,7.402571e-17,3.696389e-18,7.772209e-17,21
7,fire,4,rise,2.573819e-16,5.374498e-16,7.948317e-16,30
7,fire,4,write,3.611184e-15,1.230792e-13,1.266904e-13,11
7,fire,4,fall,-2.648163e-16,5.483489e-16,2.835326e-16,30
7,fire,4,read,7.402757e-17,3.696480e-18,7.772405e-17,21
7,fire,5,rise,2.574512e-16,5.379183e-16,7.953695e-16,30
7,fire,5,write,3.611279e-15,1.230996e-13,1.267108e-13,11
7,fire,5,fall,-2.648769e-16,5.488589e-16,2.839820e-16,30
7,fire,5,read,7.403027e-17,3.696613e-18,7.772688e-17,21
7,fire,6,rise,2.575322e-16,5.384670e-16,7.959992e-16,30
7,fire,6,write,3.611382e-15,1.231230e-13,1.267344e-13,11
7,fire,6,fall,-2.649459e-16,5.494404e-16,2.844946e-16,30
7,fire,6,read,7.403361e-17,3.696776e-18,7.773038e-17,21
7,fire,7,rise,2.576225e-16,5.390810e-16,7.967035e-16,30
7,fire,7,write,3.611491e-15,1.231491e-13,1.267605e-13,11
7,fire,7,fall,-2.650216e-16,5.500803e-16,2.850587e-16,30
7,fire,7,read,7.403738e-17,3.696961e-18,7.773434e-17,21
7,fire,8,rise,2.577204e-16,5.397474e-16,7.974677e-16,30
7,fire,8,write,3.611606e-15,1.231771e-13,1.267888e-13,11
