file,cycle,pulse,segment,t_start,t_end,E_gate_J,E_drain_J,E_total_J,n_samples
c2_p1_read_cyclic_vm4_des.plt,2,1,read,8.194000e-05,8.204000e-05,7.449470e-17,3.719458e-18,7.821416e-17,21
c2_p1_read_cyclic_vm6_des.plt,2,1,read,8.194000e-05,8.204000e-05,7.391419e-17,3.690846e-18,7.760503e-17,21
c2_p1_rise_cyclic_vm10_des.plt,2,1,rise,8.183800e-05,8.183900e-05,2.748053e-16,6.502355e-16,9.250408e-16,30
c2_p1_rise_cyclic_vm4_des.plt,2,1,rise,8.183800e-05,8.183900e-05,2.696386e-16,6.070388e-16,8.766774e-16,30
c2_p1_rise_cyclic_vm6_des.plt,2,1,rise,8.183800e-05,8.183900e-05,2.639676e-16,5.229915e-16,7.869592e-16,30
c2_p1_write_cyclic_vm10_des.plt,2,1,write,8.183900e-05,8.193900e-05,3.627375e-15,1.274625e-13,1.310899e-13,11
c2_p1_write_cyclic_vm4_des.plt,2,1,write,8.183900e-05,8.193900e-05,3.618753e-15,1.253574e-13,1.289762e-13,11
c2_p1_write_cyclic_vm6_des.plt,2,1,write,8.183900e-05,8.193900e-05,3.608189e-15,1.222154e-13,1.258235e-13,11
c2_p2_fall_cyclic_vm10_des.plt,2,2,fall,8.214100e-05,8.214200e-05,-2.767154e-16,6.623757e-16,3.856603e-16,30
c2_p2_fall_cyclic_vm4_des.plt,2,2,fall,8.214100e-05,8.214200e-05,-2.707315e-16,6.110570e-16,3.403255e-16,30
c2_p2_fall_cyclic_vm6_des.plt,2,2,fall,8.214100e-05,8.214200e-05,-2.622713e-16,5.267675e-16,2.644963e-16,30
c2_p2_read_cyclic_vm10_des.plt,2,2,read,8.214200e-05,8.224200e-05,7.497205e-17,3.742625e-18,7.871468e-17,21
c2_p2_read_cyclic_vm4_des.plt,2,2,read,8.214200e-05,8.224200e-05,7.449259e-17,3.719347e-18,7.821194e-17,21
c2_p2_read_cyclic_vm6_des.plt,2,2,read,8.214200e-05,8.224200e-05,7.391390e-17,3.690831e-18,7.760473e-17,21
