timestep,Normal,Epileptic
462,0.22437045,0.7756295
463,0.22452071,0.7754793
464,0.2166155,0.7833845
465,0.21303251,0.78696746
466,0.22391419,0.77608585
467,0.20594317,0.79405683
468,0.23508315,0.7649169
469,0.2511991,0.7488009
470,0.2613528,0.7386472
471,0.22980525,0.7701947
472,0.24041295,0.7595871
473,0.21719801,0.782802
474,0.18821596,0.8117841
475,0.19935243,0.80064756
476,0.21039824,0.7896018
477,0.21118198,0.788818
478,0.21217003,0.7878299
479,0.22306369,0.77693635
480,0.23379064,0.76620936
481,0.2443222,0.7556778
482,0.25463375,0.7453662
483,0.24500355,0.7549965
484,0.25043964,0.74956036
485,0.2606113,0.7393887
486,0.27053156,0.7294684
487,0.29214412,0.7078559
488,0.30115074,0.6988492
489,0.30986285,0.69013715
490,0.31827724,0.68172276
491,0.3263929,0.6736071
492,0.33421052,0.6657895
493,0.3216257,0.67837435
494,0.30013728,0.6998627
495,0.30341843,0.6965816
496,0.32848293,0.67151713
497,0.3362223,0.66377777
498,0.34366664,0.6563333
499,0.35082003,0.64918
500,0.35768726,0.6423127
501,0.35788763,0.6421124
502,0.36446637,0.63553363
503,0.37077162,0.6292284
504,0.37681046,0.62318957
505,0.38259047,0.61740947
506,0.38811964,0.61188036
507,0.3934059,0.606594
508,0.39845768,0.6015423
509,0.3616582,0.6383418
510,0.3858049,0.6141951
511,0.39119318,0.60880685
512,0.36450952,0.6354905
513,0.37081295,0.629187
514,0.3521987,0.6478014
515,0.3698141,0.63018596
516,0.35641414,0.6435859
517,0.3630535,0.6369465
518,0.36941788,0.63058215
519,0.37551424,0.62448573
520,0.34649864,0.6535014
521,0.35353947,0.64646053
522,0.36029637,0.63970363
523,0.33884886,0.6611512
524,0.34619138,0.65380865
525,0.35324442,0.6467555
526,0.37083015,0.6291699
527,0.42229867,0.57770133
528,0.42603192,0.5739681
529,0.4295909,0.5704091
530,0.46443507,0.5355649
531,0.49029246,0.50970757
532,0.49076584,0.50923413
533,0.45368737,0.5463127
534,0.45286563,0.5471344
535,0.45515212,0.5448479
536,0.45732883,0.54267114
537,0.47100613,0.5289939
538,0.49656805,0.50343204
539,0.49673542,0.5032646
540,0.56019086,0.43980917
541,0.5572812,0.44271877
542,0.5545098,0.44549018
543,0.55187047,0.4481295
544,0.5493572,0.4506428
545,0.5782521,0.4217479
546,0.5744932,0.4255068
547,0.5709097,0.42909035
548,0.56749403,0.43250602
549,0.56423897,0.435761
550,0.5611376,0.43886244
551,0.558183,0.44181696
552,0.5553688,0.44463125
553,0.5526884,0.4473115
554,0.5501361,0.44986394
555,0.52009994,0.4799001
556,0.520765,0.47923496
557,0.5197532,0.48024678
558,0.51879054,0.48120937
559,0.517386,0.48261404
560,0.51653856,0.48346147
561,0.5157324,0.48426765
562,0.48723218,0.51276785
563,0.49536484,0.5046351
564,0.45565796,0.54434204
565,0.42037302,0.57962704
566,0.4241958,0.5758042
567,0.3914286,0.6085714
568,0.37034282,0.6296572
569,0.34556955,0.6544305
570,0.33372834,0.6662716
571,0.319188,0.680812
572,0.35054177,0.6494582
573,0.35742027,0.6425797
574,0.32958835,0.6704117
575,0.2842316,0.7157684
576,0.2554768,0.7445232
577,0.2655268,0.7344732
578,0.2753176,0.7246824
579,0.2680484,0.73195165
580,0.24982467,0.75017536
581,0.25711498,0.74288505
582,0.26712418,0.7328758
583,0.22016329,0.7798368
584,0.20747444,0.79252553
585,0.19624005,0.80375993
586,0.19028218,0.80971783
587,0.17186789,0.8281321
588,0.18404856,0.8159514
589,0.17147702,0.828523
590,0.14537095,0.85462904
591,0.15643816,0.8435619
592,0.16202562,0.83797437
593,0.16090797,0.8390921
594,0.16045083,0.8395491
595,0.15298906,0.8470109
596,0.14062591,0.85937405
597,0.10067998,0.89932
598,0.11077192,0.8892281
599,0.12146414,0.8785358
600,0.1321454,0.8678546
601,0.13304949,0.8669505
602,0.14395332,0.85604674
603,0.15500535,0.8449946
604,0.14617571,0.85382426
605,0.1381045,0.8618955
606,0.13793716,0.8620629
607,0.13656557,0.8634344
608,0.14752342,0.85247654
609,0.1581616,0.84183836
610,0.16932571,0.83067423
611,0.18051909,0.8194809
612,0.19639337,0.80360657
613,0.20142913,0.7985708
614,0.21245362,0.7875464
615,0.2010086,0.79899144
616,0.18550679,0.8144932
617,0.19665918,0.80334085
618,0.20773055,0.79226947
619,0.21868241,0.78131753
620,0.22948036,0.7705196
621,0.24119413,0.7588059
622,0.23487909,0.7651209
623,0.24538918,0.7546108
624,0.25567698,0.744323
625,0.26572204,0.73427796
626,0.27550763,0.7244924
627,0.28502035,0.71497965
628,0.29424995,0.70575005
629,0.30318892,0.6968111
630,0.3118325,0.6881675
631,0.32017794,0.6798221
632,0.32822463,0.67177534
633,0.33597368,0.6640263
634,0.34342766,0.6565723
635,0.35059047,0.6494095
636,0.35157996,0.64842004
637,0.35841647,0.64158356
638,0.3649734,0.6350266
639,0.3712574,0.62874264
640,0.37727556,0.6227245
641,0.3830355,0.61696446
642,0.38854522,0.6114548
643,0.42454985,0.5754502
644,0.49716195,0.502838
645,0.49730042,0.5026996
646,0.5090933,0.49090675
