timestep,ALIF0,ALIF1,ALIF2,ALIF3,ALIF4
1088,1.6985883,0.6777396,1.0503455,2.7516565,0.67603546
1089,1.6968905,0.6770622,1.0492957,2.7489061,0.6753598
1090,1.6951944,0.67638546,1.0482469,2.7461586,0.67468476
1091,1.6935,0.6757094,1.0471991,2.7434137,0.6740104
1092,1.6918074,0.67503405,1.0461525,2.8348186,0.67333674
1093,1.6901164,0.6743593,1.0451069,2.8319852,0.67266375
1094,1.6884271,0.6736853,1.0440623,2.8291547,0.6719914
1095,1.6867394,0.67301196,1.0430187,2.8263268,0.6713197
1096,1.6850536,0.67233926,1.0419762,2.8235018,0.67064875
1097,1.6833694,0.6716673,1.0409348,2.8206797,0.66997844
1098,1.6816869,0.67099595,1.0398943,2.8178604,0.6693088
1099,1.680006,0.6703253,1.038855,2.815044,0.6686398
1100,1.6783268,0.66965526,1.0378166,2.8122303,0.6679715
1101,1.6766493,0.66898596,1.0367793,2.8094194,0.66730386
1102,1.6749735,0.6683173,1.035743,2.8066113,0.6666369
1103,1.6732993,0.6676493,1.0347078,2.803806,0.66597056
1104,1.6716268,0.666982,1.0336735,2.8010037,0.6653049
1105,1.669956,0.6663153,1.0326403,2.798204,0.66463995
1106,1.6682868,0.66564935,1.0316082,2.795407,0.66397566
1107,1.6666193,0.66498405,1.0305771,2.792613,0.663312
1108,1.6649535,0.6643194,1.029547,2.7898219,0.66264904
1109,1.6632893,0.6636554,1.028518,2.7870333,0.6619867
1110,1.6616268,0.66299206,1.0274899,2.7842476,0.66132504
1111,1.659966,0.6623294,1.0264629,2.7814648,0.660664
1112,1.6583068,0.66166735,1.025437,2.7786846,0.66000366
1113,1.6566494,0.66100603,1.024412,2.7759073,0.65934396
1114,1.6549935,0.6603454,1.0233881,2.7731328,0.6586849
1115,1.6533394,0.6596854,1.0223652,2.770361,0.6580266
